id,nombre,apellido,genero,edad,id_padre,esta_muerto,fue_rey,es_rey
1,Aldric,Valemar,1,80,0,1,1,0
2,Edric,Valemar,1,50,1,0,0,1
3,Rowan,Valemar,1,48,1,0,0,0
4,Alistair,Valemar,1,25,2,0,0,0
5,Elden,Valemar,1,23,2,0,0,0
6,Theon,Valemar,1,22,3,0,0,0
7,Beric,Valemar,1,20,3,0,0,0
8,Marcus,Valemar,1,5,4,0,0,0
9,Lucian,Valemar,1,3,4,0,0,0
10,Daren,Valemar,1,2,5,0,0,0
11,Tristan,Valemar,1,18,6,0,0,0
12,Cassian,Valemar,1,16,6,0,0,0
13,Fenrir,Valemar,1,17,7,0,0,0
14,Cain,Valemar,1,14,7,0,0,0
15,Gareth,Stormrider,1,60,0,1,0,0
16,Draven,Stormrider,1,35,15,0,0,0
17,Calen,Stormrider,1,12,16,0,0,0
18,Reign,Stormrider,1,10,16,0,0,0
19,Korin,Stormrider,1,30,15,0,0,0
20,Arden,Stormrider,1,8,19,0,0,0
